paper_label,paper_estimate_id,url,journal,publication_year,field,context,empirical_strategy,outcome,outcome_type,outcome_subgroup,control_outcome,independent_variable,temporal_scale,sample_size,increase_independent_variable,independent_variable_dummy,is_standardized,log_outcome,mean_outcome,sd_outcome,mean_independant_variable,sd_independent_variable,estimate,standard_error,first_stage_statistic,source_summary_stats,source_results,remarks,open_data
deryugina et al. (2019),151,https://www.aeaweb.org/articles?id=10.1257/aer.20180291,AER,2019,economics,"counties, usa",conventional time series,inpatient admissions rate,morbidity,all,0,pm2.5,daily,1898236,1 µg/m³ increase in pm2.5,0,0,0,3366,1207,10.48,7.13,-0.717,0.157,NA,table 1,table 3 - column 4,NA,0
deryugina et al. (2019),152,https://www.aeaweb.org/articles?id=10.1257/aer.20180292,AER,2019,economics,"counties, usa",conventional time series,inpatient er admissions rate,morbidity,all,0,pm2.5,daily,1898236,1 µg/m³ increase in pm2.5,0,0,0,1749,707,10.48,7.13,0.091,0.081,NA,table 1,table 3 - column 5,NA,0
deryugina et al. (2019),153,https://www.aeaweb.org/articles?id=10.1257/aer.20180293,AER,2019,economics,"counties, usa",conventional time series,inpatient + outpatient er rate,morbidity,all,0,pm2.5,daily,1898236,1 µg/m³ increase in pm2.5,0,0,0,3984,1206,10.48,7.13,0.329,0.112,NA,table 1,table 3 - column 6,NA,0
deryugina et al. (2019),154,https://www.aeaweb.org/articles?id=10.1257/aer.20180294,AER,2019,economics,"counties, usa",conventional time series,non-er admissions rate,morbidity,all,0,pm2.5,daily,1898236,1 µg/m³ increase in pm2.5,0,0,0,1617,NA,10.48,7.13,-0.809,0.124,NA,table 1,table 3 - column 7,NA,0
deryugina et al. (2019),155,https://www.aeaweb.org/articles?id=10.1257/aer.20180295,AER,2019,economics,"counties, usa",instrumental variable,inpatient admissions rate,morbidity,all,0,pm2.5,daily,1898236,1 µg/m³ increase in pm2.5,0,0,0,3366,1207,10.48,7.13,2.207,0.671,NA,table 1,table 3 - column 4,NA,0
deryugina et al. (2019),156,https://www.aeaweb.org/articles?id=10.1257/aer.20180296,AER,2019,economics,"counties, usa",instrumental variable,inpatient er admissions rate,morbidity,all,0,pm2.5,daily,1898236,1 µg/m³ increase in pm2.5,0,0,0,1749,707,10.48,7.13,2.06,0.317,NA,table 1,table 3 - column 5,NA,0
deryugina et al. (2019),157,https://www.aeaweb.org/articles?id=10.1257/aer.20180297,AER,2019,economics,"counties, usa",instrumental variable,inpatient + outpatient er rate,morbidity,all,0,pm2.5,daily,1898236,1 µg/m³ increase in pm2.5,0,0,0,3984,1206,10.48,7.13,2.693,0.444,NA,table 1,table 3 - column 6,NA,0
deryugina et al. (2019),158,https://www.aeaweb.org/articles?id=10.1257/aer.20180298,AER,2019,economics,"counties, usa",instrumental variable,non-er admissions rate,morbidity,all,0,pm2.5,daily,1898236,1 µg/m³ increase in pm2.5,0,0,0,1617,NA,10.48,7.13,0.148,0.441,NA,table 1,table 3 - column 7,NA,0
ebenstein et al. (2015),159,https://www.ima.org.il/MedicineIMAJ/viewarticle.aspx?year=2015&month=10&page=628,Israel Medical Association Journal,2015,epidemiology,"2 cities, israel",conventional time series,hospital admissions due to lung illnesses,morbidity,all,0,pm10,daily,2011,1 µg/m³ increase in pm10,0,0,0,3.87,2.667,55.575,64.107,0.004,0.001,NA,table 1,table 3 - column 2,NA,0
ebenstein et al. (2015),160,https://www.ima.org.il/MedicineIMAJ/viewarticle.aspx?year=2015&month=10&page=628,Israel Medical Association Journal,2015,epidemiology,"2 cities, israel",instrumental variable,hospital admissions due to lung illnesses,morbidity,all,0,pm10,daily,2011,1 µg/m³ increase in pm10,0,0,0,3.87,2.667,55.575,64.107,0.004,0.002,NA,table 1,table 3 - column 3,NA,0
ebenstein et al. (2015),161,https://www.ima.org.il/MedicineIMAJ/viewarticle.aspx?year=2015&month=10&page=628,Israel Medical Association Journal,2015,epidemiology,"2 cities, israel",instrumental variable,hospital admissions due to copd,morbidity,all,0,pm10,daily,2011,1 µg/m³ increase in pm10,0,0,0,1.049,1.085,55.575,64.107,0.002,8e-4,NA,table 1,table 4 - column 1,NA,0
ebenstein et al. (2015),162,https://www.ima.org.il/MedicineIMAJ/viewarticle.aspx?year=2015&month=10&page=628,Israel Medical Association Journal,2015,epidemiology,"2 cities, israel",instrumental variable,hospital admissions due to asthma,morbidity,all,0,pm10,daily,2011,1 µg/m³ increase in pm10,0,0,0,0.86,0.981,55.575,64.107,7e-4,7e-4,NA,table 1,table 4 - column 2,NA,0
ebenstein et al. (2015),163,https://www.ima.org.il/MedicineIMAJ/viewarticle.aspx?year=2015&month=10&page=628,Israel Medical Association Journal,2015,epidemiology,"2 cities, israel",instrumental variable,hospital admissions due to respiratory abnormalities,morbidity,all,0,pm10,daily,2011,1 µg/m³ increase in pm10,0,0,0,1.961,1.915,55.575,64.107,0.001,0.001,NA,table 1,table 4 - column 3,NA,0
ebenstein et al. (2015),164,https://www.ima.org.il/MedicineIMAJ/viewarticle.aspx?year=2015&month=10&page=628,Israel Medical Association Journal,2015,epidemiology,"2 cities, israel",instrumental variable,hospital admissions due to abdominal pain,morbidity,all,1,pm10,daily,2011,1 µg/m³ increase in pm10,0,0,0,NA,NA,55.575,64.107,0.002,0.002,NA,table 1,table 4 - column 4,NA,0
fan i et al. (2020),165,https://www.sciencedirect.com/science/article/abs/pii/S0167629619311257,Journal of Health Economics,2020,economics,"13 provinces,china",rdd,all causes age-adjusted mortality per 100k,mortality,all,0,heating on,weekly,3647,heating dummy,1,0,1,10.98,3.82,NA,NA,0.138,0.035,NA,table 1,table 2 - column 3,NA,0
fan i et al. (2020),166,https://www.sciencedirect.com/science/article/abs/pii/S0167629619311257,Journal of Health Economics,2020,economics,"13 provinces,china",rdd,cvr causes age-adjusted mortality per 100k,mortality,all,0,heating on,weekly,3647,heating dummy,1,0,1,7.92,3.07,NA,NA,0.154,0.038,NA,table 1,table 2 - column 3,NA,0
fan i et al. (2020),167,https://www.sciencedirect.com/science/article/abs/pii/S0167629619311257,Journal of Health Economics,2020,economics,"13 provinces,china",rdd,non-cvr causes age-adjusted mortality per 100k,mortality,all,1,heating on,weekly,3647,heating dummy,1,0,1,3.05,1.43,NA,NA,0.076,0.046,NA,table 1,table 2 - column 3,NA,0
fan i et al. (2020),168,https://www.sciencedirect.com/science/article/abs/pii/S0167629619311257,Journal of Health Economics,2020,economics,"13 provinces,china",fuzzy rdd,all causes age-adjusted mortality per 100k,mortality,all,0,aqi,weekly,3647,1 point increase in aqi,0,0,1,10.98,3.82,109.24,45.44,0.0022,7e-4,NA,table 1,table 3 - column 3,NA,0
fan i et al. (2020),169,https://www.sciencedirect.com/science/article/abs/pii/S0167629619311257,Journal of Health Economics,2020,economics,"13 provinces,china",fuzzy rdd,cvr causes age-adjusted mortality per 100k,mortality,all,0,aqi,weekly,3647,1 point increase in aqi,0,0,1,7.92,3.07,109.24,45.44,0.0027,8e-4,NA,table 1,table 3 - column 3,NA,0
fan i et al. (2020),170,https://www.sciencedirect.com/science/article/abs/pii/S0167629619311257,Journal of Health Economics,2020,economics,"13 provinces,china",fuzzy rdd,non-cvr causes age-adjusted mortality per 100k,mortality,all,1,aqi,weekly,3647,1 point increase in aqi,0,0,1,3.05,1.43,109.24,45.44,0.001,9e-4,NA,table 1,table 4 - column 3,NA,0
fan i et al. (2020),171,https://www.sciencedirect.com/science/article/abs/pii/S0167629619311257,Journal of Health Economics,2020,economics,"13 provinces,china",conventional time series,all causes age-adjusted mortality per 100k,mortality,all,0,aqi,weekly,3647,1 point increase in aqi,0,0,1,10.98,3.82,109.24,45.44,6e-4,1e-4,NA,table 1,table 4 - column 3,NA,0
fan i et al. (2020),172,https://www.sciencedirect.com/science/article/abs/pii/S0167629619311257,Journal of Health Economics,2020,economics,"13 provinces,china",conventional time series,cvr causes age-adjusted mortality per 100k,mortality,all,0,aqi,weekly,3647,1 point increase in aqi,0,0,1,7.92,3.07,109.24,45.44,8e-4,1e-4,NA,table 1,table 4 - column 3,NA,0
fan i et al. (2020),173,https://www.sciencedirect.com/science/article/abs/pii/S0167629619311257,Journal of Health Economics,2020,economics,"13 provinces,china",conventional time series,non-cvr causes age-adjusted mortality per 100k,mortality,all,1,aqi,weekly,3647,1 point increase in aqi,0,0,1,3.05,1.43,109.24,45.44,0,2e-4,NA,table 1,table 4 - column 3,NA,0
fan i et al. (2020),174,https://www.sciencedirect.com/science/article/abs/pii/S0167629619311257,Journal of Health Economics,2020,economics,"13 provinces,china",rdd,all causes age-adjusted mortality per 100k - old people (> = 60),mortality,old,0,heating on,weekly,3647,heating dummy,1,0,1,NA,NA,NA,NA,0.158,0.038,NA,table 1,table 7 - column 2,NA,0
fan i et al. (2020),175,https://www.sciencedirect.com/science/article/abs/pii/S0167629619311257,Journal of Health Economics,2020,economics,"13 provinces,china",rdd,all causes age-adjusted mortality per 100k - young people (<60),mortality,age < 60,0,heating on,weekly,3647,heating dummy,1,0,1,NA,NA,NA,NA,0.063,0.041,NA,table 1,table 7 - column 2,NA,0
fan i et al. (2020),176,https://www.sciencedirect.com/science/article/abs/pii/S0167629619311257,Journal of Health Economics,2020,economics,"13 provinces,china",fuzzy rdd,all causes age-adjusted mortality per 100k - old people (> = 60),mortality,old,0,aqi,weekly,3647,1 point increase in aqi,0,0,1,NA,NA,109.24,45.44,0.025,0.007,NA,table 1,table 7 - column 4,NA,0
fan i et al. (2020),177,https://www.sciencedirect.com/science/article/abs/pii/S0167629619311257,Journal of Health Economics,2020,economics,"13 provinces,china",fuzzy rdd,all causes age-adjusted mortality per 100k - young people (<60),mortality,age < 60,0,aqi,weekly,3647,1 point increase in aqi,0,0,1,NA,NA,109.24,45.44,0.013,0.008,NA,table 1,table 7 - column 4,NA,0
fan ii et al. (2020),178,"https://ehjournal.biomedcentral.com/articles/10.1186/s12940-020-00573-2#:~:text=Using%20the%20IV%20method%2C%20we,people%20older%20than%2065%20years.",Environmental Health,2020,epidemiology,"5 power plants, usa",instrumental variable,"monthly mortality rate per 100, 000 people",mortality,all,0,pm2.5,monthly,8274,1 µg/m³ reduction in pm2.5,0,0,0,423,68.99,12.04,3.782,7.17,1.877551,NA,table 2,table 3 - colum 6,NA,0
fan ii et al. (2020),179,"https://ehjournal.biomedcentral.com/articles/10.1186/s12940-020-00573-2#:~:text=Using%20the%20IV%20method%2C%20we,people%20older%20than%2065%20years.",Environmental Health,2020,epidemiology,"5 power plants, usa",instrumental variable,"monthly mortality rate per 100, 000 people - age 65–75",mortality,old,0,pm2.5,monthly,8274,1 µg/m³ reduction in pm2.5,0,0,0,193.9,54.82,12.04,3.782,-0.04,1.045918,NA,table 2,table 5 - colum 3,NA,0
fan ii et al. (2020),180,"https://ehjournal.biomedcentral.com/articles/10.1186/s12940-020-00573-2#:~:text=Using%20the%20IV%20method%2C%20we,people%20older%20than%2065%20years.",Environmental Health,2020,epidemiology,"5 power plants, usa",instrumental variable,"monthly mortality rate per 100, 000 people - age 75+",mortality,old,0,pm2.5,monthly,8274,1 µg/m³ reduction in pm2.5,0,0,0,694.3,118.5,12.04,3.782,15.4,3.260204,NA,table 2,table 5 - colum 3,NA,0
fan ii et al. (2020),181,"https://ehjournal.biomedcentral.com/articles/10.1186/s12940-020-00573-2#:~:text=Using%20the%20IV%20method%2C%20we,people%20older%20than%2065%20years.",Environmental Health,2020,epidemiology,"5 power plants, usa",difference in differences,"monthly mortality rate per 100, 000 people",mortality,all,0,power plant retirement,monthly,8274,did interaction,1,0,0,423,68.99,NA,NA,-15.31,3.311224,NA,table 2,table 6 - column 3,NA,0
fan ii et al. (2020),182,"https://ehjournal.biomedcentral.com/articles/10.1186/s12940-020-00573-2#:~:text=Using%20the%20IV%20method%2C%20we,people%20older%20than%2065%20years.",Environmental Health,2020,epidemiology,"5 power plants, usa",difference in differences,"monthly mortality rate per 100, 000 people - age 65–75",mortality,old,0,power plant retirement,monthly,8274,did interaction,1,0,0,193.9,54.82,NA,NA,0.09,2.433673,NA,table 2,table 6 - column 3,NA,0
fan ii et al. (2020),183,"https://ehjournal.biomedcentral.com/articles/10.1186/s12940-020-00573-2#:~:text=Using%20the%20IV%20method%2C%20we,people%20older%20than%2065%20years.",Environmental Health,2020,epidemiology,"5 power plants, usa",difference in differences,"monthly mortality rate per 100, 000 people - age 75+",mortality,old,0,power plant retirement,monthly,8274,did interaction,1,0,0,694.3,118.5,NA,NA,-32.85,5.260204,NA,table 2,table 6 - column 3,NA,0
forastiere et al. (2020),184,https://ehjournal.biomedcentral.com/articles/10.1186/s12940-020-00599-6,Environmental Health,2020,epidemiology,"milan, italy",generalized propensity score - ad(20),natural deaths,mortality,all,0,pm10,daily,1461,"deaths attributable to daily exposure levels above 20 μg/m3, setting the counterfactual exactly to 20 μg/m3.",1,0,0,28,7,52.5,32.9,1.736482,0.465185,NA,table 1,table 3 - column 1,we divided the estimates and standard errors by 1461 (number of days in the study) to get the differences in health outcomes at the daily level and not over the entire period.,0
forastiere et al. (2020),185,https://ehjournal.biomedcentral.com/articles/10.1186/s12940-020-00599-7,Environmental Health,2020,epidemiology,"milan, italy",generalized propensity score - ad(20),respiratory deaths,mortality,all,0,pm10,daily,1461,"deaths attributable to daily exposure levels above 20 μg/m3, setting the counterfactual exactly to 20 μg/m3.",1,0,0,2.5,1.7,52.5,32.9,0.394935,0.134396,NA,table 1,table 3 - column 2,we divided the estimates and standard errors by 1461 (number of days in the study) to get the differences in health outcomes at the daily level and not over the entire period.,0
forastiere et al. (2020),186,https://ehjournal.biomedcentral.com/articles/10.1186/s12940-020-00599-8,Environmental Health,2020,epidemiology,"milan, italy",generalized propensity score - ad(20),cardiovascular deaths,mortality,all,0,pm10,daily,1461,"deaths attributable to daily exposure levels above 20 μg/m3, setting the counterfactual exactly to 20 μg/m3.",1,0,0,10.3,3.9,52.5,32.9,0.6844627,0.2030503,NA,table 1,table 3 - column 3,we divided the estimates and standard errors by 1461 (number of days in the study) to get the differences in health outcomes at the daily level and not over the entire period.,0
forastiere et al. (2020),187,https://ehjournal.biomedcentral.com/articles/10.1186/s12940-020-00599-9,Environmental Health,2020,epidemiology,"milan, italy",generalized propensity score - ad(40),natural deaths,mortality,all,0,pm10,daily,1461,"deaths attributable to daily exposure levels above 40 μg/m3, setting the counterfactual exactly to 40 μg/m3",1,0,0,28,7,52.5,32.9,0.7919233,0.2030503,NA,table 1,table 3 - column 1,we divided the estimates and standard errors by 1461 (number of days in the study) to get the differences in health outcomes at the daily level and not over the entire period.,0
forastiere et al. (2020),188,https://ehjournal.biomedcentral.com/articles/10.1186/s12940-020-00599-10,Environmental Health,2020,epidemiology,"milan, italy",generalized propensity score - ad(40),respiratory deaths,mortality,all,0,pm10,daily,1461,"deaths attributable to daily exposure levels above 40 μg/m3, setting the counterfactual exactly to 40 μg/m3",1,0,0,2.5,1.7,52.5,32.9,0.2135524,0.0441052,NA,table 1,table 3 - column 2,we divided the estimates and standard errors by 1461 (number of days in the study) to get the differences in health outcomes at the daily level and not over the entire period.,0
forastiere et al. (2020),189,https://ehjournal.biomedcentral.com/articles/10.1186/s12940-020-00599-11,Environmental Health,2020,epidemiology,"milan, italy",generalized propensity score - ad(40),cardiovascular deaths,mortality,all,0,pm10,daily,1461,"deaths attributable to daily exposure levels above 40 μg/m3, setting the counterfactual exactly to 40 μg/m3",1,0,0,10.3,3.9,52.5,32.9,0.5277207,0.07905647,NA,table 1,table 3 - column 3,we divided the estimates and standard errors by 1461 (number of days in the study) to get the differences in health outcomes at the daily level and not over the entire period.,0
forastiere et al. (2020),190,https://ehjournal.biomedcentral.com/articles/10.1186/s12940-020-00599-12,Environmental Health,2020,epidemiology,"milan, italy",generalized propensity score - dad(40),natural deaths,mortality,all,0,pm10,daily,1461,"deaths attributable to daily exposure levels above 40 μg/m3, sampling the counterfactuals from the exposure distribution below 40 μg/m3",1,0,0,28,7,52.5,32.9,1.271047,0.1564486,NA,table 1,table 3 - column 1,we divided the estimates and standard errors by 1461 (number of days in the study) to get the differences in health outcomes at the daily level and not over the entire period.,0
forastiere et al. (2020),191,https://ehjournal.biomedcentral.com/articles/10.1186/s12940-020-00599-13,Environmental Health,2020,epidemiology,"milan, italy",generalized propensity score - dad(40),respiratory deaths,mortality,all,0,pm10,daily,1461,"deaths attributable to daily exposure levels above 40 μg/m3, sampling the counterfactuals from the exposure distribution below 40 μg/m3",1,0,0,2.5,1.7,52.5,32.9,0.2758385,0.04202476,NA,table 1,table 3 - column 2,we divided the estimates and standard errors by 1461 (number of days in the study) to get the differences in health outcomes at the daily level and not over the entire period.,0
forastiere et al. (2020),192,https://ehjournal.biomedcentral.com/articles/10.1186/s12940-020-00599-14,Environmental Health,2020,epidemiology,"milan, italy",generalized propensity score - dad(40),cardiovascular deaths,mortality,all,0,pm10,daily,1461,"deaths attributable to daily exposure levels above 40 μg/m3, sampling the counterfactuals from the exposure distribution below 40 μg/m3",1,0,0,10.3,3.9,52.5,32.9,0.6940452,0.08612998,NA,table 1,table 3 - column 3,we divided the estimates and standard errors by 1461 (number of days in the study) to get the differences in health outcomes at the daily level and not over the entire period.,0
forastiere et al. (2020),193,https://ehjournal.biomedcentral.com/articles/10.1186/s12940-020-00599-15,Environmental Health,2020,epidemiology,"milan, italy",generalized propensity score - dad(50),natural deaths,mortality,all,0,pm10,daily,1461,"deaths attributable to daily exposure levels above 50 μg/m3, sampling the counterfactuals from the exposure distribution below 50 μg/m3",1,0,0,28,7,52.5,32.9,1.013689,0.105686,NA,table 1,table 3 - column 1,we divided the estimates and standard errors by 1461 (number of days in the study) to get the differences in health outcomes at the daily level and not over the entire period.,0
forastiere et al. (2020),194,https://ehjournal.biomedcentral.com/articles/10.1186/s12940-020-00599-16,Environmental Health,2020,epidemiology,"milan, italy",generalized propensity score - dad(50),respiratory deaths,mortality,all,0,pm10,daily,1461,"deaths attributable to daily exposure levels above 50 μg/m3, sampling the counterfactuals from the exposure distribution below 50 μg/m3",1,0,0,2.5,1.7,52.5,32.9,0.2224504,0.03037433,NA,table 1,table 3 - column 2,we divided the estimates and standard errors by 1461 (number of days in the study) to get the differences in health outcomes at the daily level and not over the entire period.,0
forastiere et al. (2020),195,https://ehjournal.biomedcentral.com/articles/10.1186/s12940-020-00599-17,Environmental Health,2020,epidemiology,"milan, italy",generalized propensity score - dad(50),cardiovascular deaths,mortality,all,0,pm10,daily,1461,"deaths attributable to daily exposure levels above 50 μg/m3, sampling the counterfactuals from the exposure distribution below 50 μg/m3",1,0,0,10.3,3.9,52.5,32.9,0.5667351,0.05492345,NA,table 1,table 3 - column 3,we divided the estimates and standard errors by 1461 (number of days in the study) to get the differences in health outcomes at the daily level and not over the entire period.,0
forastiere et al. (2020),196,https://ehjournal.biomedcentral.com/articles/10.1186/s12940-020-00599-18,Environmental Health,2020,epidemiology,"milan, italy",conventional time series,natural deaths,mortality,all,0,pm10,daily,1461,"deaths attributable to exceeding the limit of 40 μg/m3 for the annual average level of exposure, calculated from a regression approach",1,0,0,28,7,52.5,32.9,0.2450376,0.08404956,NA,table 1,table 4 - column 1,we divided the estimates and standard errors by 1461 (number of days in the study) to get the differences in health outcomes at the daily level and not over the entire period.,0
giaccherini et al. (2021),197,https://www.sciencedirect.com/science/article/abs/pii/S0167629621000631,Journal of Health Economics,2021,economics,"municipalities, italy",conventional time series,respiratory hospital admission,morbidity,all,0,pm10,daily,121545,1 µg/m³ increase in pm10,0,0,0,2.05,1.3,17.48,10.72,-0.001,5e-4,NA,table 1,table a.2 - column 5,NA,0
giaccherini et al. (2021),198,https://www.sciencedirect.com/science/article/abs/pii/S0167629621000631,Journal of Health Economics,2021,economics,"municipalities, italy",instrumental variable,respiratory hospital admission,morbidity,all,0,pm10,daily,121545,1 µg/m³ increase in pm10,0,0,0,2.05,1.3,17.48,10.72,0.074,0.024,NA,table 1,table 5 - column 4,NA,0
giaccherini et al. (2021),199,https://www.sciencedirect.com/science/article/abs/pii/S0167629621000631,Journal of Health Economics,2021,economics,"municipalities, italy",instrumental variable,respiratory hospital admission - age below 14,morbidity,children,0,pm10,daily,121545,1 µg/m³ increase in pm10,0,0,0,2.12,3.52,17.48,10.72,0.06,0.088,NA,table 1,table 6 - column 4,NA,0
giaccherini et al. (2021),200,https://www.sciencedirect.com/science/article/abs/pii/S0167629621000631,Journal of Health Economics,2021,economics,"municipalities, italy",instrumental variable,respiratory hospital admission - age 15 - 24,morbidity,15 - 24,0,pm10,daily,121545,1 µg/m³ increase in pm10,0,0,0,0.39,1.66,17.48,10.72,0.097,0.057,NA,table 1,table 6 - column 4,NA,0
giaccherini et al. (2021),201,https://www.sciencedirect.com/science/article/abs/pii/S0167629621000631,Journal of Health Economics,2021,economics,"municipalities, italy",instrumental variable,respiratory hospital admission - age 25 - 44,morbidity,25 - 44,0,pm10,daily,121545,1 µg/m³ increase in pm10,0,0,0,0.35,0.94,17.48,10.72,0.042,0.021,NA,table 1,table 6 - column 4,NA,0
giaccherini et al. (2021),202,https://www.sciencedirect.com/science/article/abs/pii/S0167629621000631,Journal of Health Economics,2021,economics,"municipalities, italy",instrumental variable,respiratory hospital admission - age 45 - 64,morbidity,45 - 64,0,pm10,daily,121545,1 µg/m³ increase in pm10,0,0,0,0.82,1.35,17.48,10.72,-0.017,0.022,NA,table 1,table 6 - column 4,NA,0
giaccherini et al. (2021),203,https://www.sciencedirect.com/science/article/abs/pii/S0167629621000631,Journal of Health Economics,2021,economics,"municipalities, italy",instrumental variable,respiratory hospital admission - age 65 and above,morbidity,old,0,pm10,daily,121545,1 µg/m³ increase in pm10,0,0,0,6.05,4.51,17.48,10.72,0.236,0.071,NA,table 1,table 6 - column 4,NA,0
giaccherini et al. (2021),204,https://www.sciencedirect.com/science/article/abs/pii/S0167629621000631,Journal of Health Economics,2021,economics,"municipalities, italy",instrumental variable,nervous system hospitalizations,morbidity,all,1,pm10,daily,121545,1 µg/m³ increase in pm10,0,0,0,NA,NA,17.48,10.72,-0.01,0.017,NA,table 1,table a10 - column 4,NA,0
giaccherini et al. (2021),205,https://www.sciencedirect.com/science/article/abs/pii/S0167629621000631,Journal of Health Economics,2021,economics,"municipalities, italy",instrumental variable,musculoskeletal hospitalizations,morbidity,all,1,pm10,daily,121545,1 µg/m³ increase in pm10,0,0,0,NA,NA,17.48,10.72,-0.012,0.005,NA,table 1,table a10 - column 4,NA,0
giaccherini et al. (2021),206,https://www.sciencedirect.com/science/article/abs/pii/S0167629621000631,Journal of Health Economics,2021,economics,"municipalities, italy",instrumental variable,endocrine systems hospitalizations,morbidity,all,1,pm10,daily,121545,1 µg/m³ increase in pm10,0,0,0,NA,NA,17.48,10.72,-0.014,0.013,NA,table 1,table a10 - column 4,NA,0
godzinski et al. (2019),207,https://www.insee.fr/en/statistiques/4159895,working paper,2019,economics,"10 cities, france",difference in differences,emergency admissions for abnormality of breathing,morbidity,all,0,public transport strikes dummy,daily,13547,public transport strikes dummy,1,0,0,0.08,0.1,NA,NA,0.00972,0.0117,NA,table 5,table 8 - column 1,NA,0
godzinski et al. (2019),208,https://www.insee.fr/en/statistiques/4159895,working paper,2019,economics,"10 cities, france",difference in differences,emergency admissions for all respiratory pathologies,morbidity,all,0,public transport strikes dummy,daily,13547,public transport strikes dummy,1,0,0,1.37,0.72,NA,NA,0.0668,0.0614,NA,table 5,table 8 - column 2,NA,0
godzinski et al. (2019),209,https://www.insee.fr/en/statistiques/4159895,working paper,2019,economics,"10 cities, france",difference in differences,emergency admissions for acute diseases of the upper respiratory system,morbidity,all,0,public transport strikes dummy,daily,13547,public transport strikes dummy,1,0,0,0.08,0.1,NA,NA,0.0309,0.00448,NA,table 5,table 8 - column 3,NA,0
godzinski et al. (2019),210,https://www.insee.fr/en/statistiques/4159895,working paper,2019,economics,"10 cities, france",difference in differences,emergency admissions for influenza and pneumonia,morbidity,all,0,public transport strikes dummy,daily,13547,public transport strikes dummy,1,0,0,0.43,0.28,NA,NA,-0.0193,0.0326,NA,table 5,table 8 - column 4,NA,0
godzinski et al. (2019),211,https://www.insee.fr/en/statistiques/4159895,working paper,2019,economics,"10 cities, france",difference in differences,emergency admissions for acute diseases of the upper respiratory system - age 0-4,morbidity,children,0,public transport strikes dummy,daily,13547,public transport strikes dummy,1,0,0,0.77,1.24,NA,NA,0.386,0.104,NA,table 5,table 8 - column 1,NA,0
godzinski et al. (2019),212,https://www.insee.fr/en/statistiques/4159895,working paper,2019,economics,"10 cities, france",difference in differences,emergency admissions for acute diseases of the upper respiratory system - age 5-14,morbidity,age 5-14,0,public transport strikes dummy,daily,13547,public transport strikes dummy,1,0,0,0.08,0.24,NA,NA,0.0205,0.04,NA,table 5,table 9 - column 2,NA,0
godzinski et al. (2019),213,https://www.insee.fr/en/statistiques/4159895,working paper,2019,economics,"10 cities, france",difference in differences,emergency admissions for acute diseases of the upper respiratory system - age 15-59,morbidity,age 15-59,0,public transport strikes dummy,daily,13547,public transport strikes dummy,1,0,0,0.03,0.07,NA,NA,0.00694,0.00665,NA,table 5,table 9 - column 3,NA,0
godzinski et al. (2019),214,https://www.insee.fr/en/statistiques/4159895,working paper,2019,economics,"10 cities, france",difference in differences,emergency admissions for acute diseases of the upper respiratory system - age over 60,morbidity,old,0,public transport strikes dummy,daily,13547,public transport strikes dummy,1,0,0,0.01,0.08,NA,NA,-9.05e-5,0.00662,NA,table 5,table 9 - column 4,NA,0
godzinski et al. (2019),215,https://www.insee.fr/en/statistiques/4159895,working paper,2019,economics,"10 cities, france",difference in differences,emergency admissions for diseases of the digestive system,morbidity,all,1,public transport strikes dummy,daily,13547,public transport strikes dummy,1,0,0,2.79,0.97,NA,NA,-0.0732,0.128,NA,table 5,table 11 - column 2,NA,0
godzinski et al. (2019),216,https://www.insee.fr/en/statistiques/4159895,working paper,2019,economics,"10 cities, france",difference in differences,emergency admissions for diseases of the digestive system - age 0-4,morbidity,children,1,public transport strikes dummy,daily,13547,public transport strikes dummy,1,0,0,1.84,2.53,NA,NA,-0.261,0.425,NA,table 5,table 11 - column 3,NA,0
godzinski et al. (2019),217,https://www.insee.fr/en/statistiques/4159895,working paper,2019,economics,"10 cities, france",difference in differences,emergency admissions for diseases of the digestive system - age 5-14,morbidity,age 5-14,1,public transport strikes dummy,daily,13547,public transport strikes dummy,1,0,0,1.4,1.57,NA,NA,-0.22,0.236,NA,table 5,table 11 - column 4,NA,0
godzinski et al. (2019),218,https://www.insee.fr/en/statistiques/4159895,working paper,2019,economics,"10 cities, france",difference in differences,emergency admissions for diseases of the digestive system - age 15-59,morbidity,age 15-59,1,public transport strikes dummy,daily,13547,public transport strikes dummy,1,0,0,2.18,0.95,NA,NA,-0.164,0.135,NA,table 5,table 11 - column 5,NA,0
godzinski et al. (2019),219,https://www.insee.fr/en/statistiques/4159895,working paper,2019,economics,"10 cities, france",difference in differences,emergency admissions for diseases of the digestive system- age over 60,morbidity,old,1,public transport strikes dummy,daily,13547,public transport strikes dummy,1,0,0,5.53,2.41,NA,NA,0.26,0.321,NA,table 5,table 11 - column 6,NA,0
godzinski et al. (2019),220,https://www.insee.fr/en/statistiques/4159895,working paper,2019,economics,"10 cities, france",difference in differences,emergency admissions for pregnancy,morbidity,all and women,1,public transport strikes dummy,daily,13547,public transport strikes dummy,1,0,0,0.9,0.83,NA,NA,0.0581,0.0564,NA,table 5,table 11 - column 1,NA,0
godzinski et al. (2021),221,https://www.sciencedirect.com/science/article/abs/pii/S0095069621000668,JEEME,2021,economics,"largest urban areas, france",multi pollutant iv-lasso models,emergency admissions - respiratory,morbidity,all,0,pm2.5,daily,6135,1 µg/m³ increase,0,0,0,1.4,NA,16.5,11,9e-4,0.0024,NA,table 1,table 6 - column 1,NA,0
